1 Forked Bolt
1 Price of Progress
2 Price of Progress
3 Polluted Delta
1 Bedlam Reveler
1 Fireblast
1 Young Pyromancer
2 Young Pyromancer
3 Young Pyromancer
1 Arid Mesa
1 Wooded Foothills
1 Wizard's Lightning
2 Flooded Strand
2 Wooded Foothills
2 Wizard's Lightning
3 Soul-Scar Mage
3 Wizard's Lightning
4 Soul-Scar Mage
4 Wizard's Lightning
3 Bloodstained Mire
3 Risk Factor
2 Bedlam Reveler
1 True-Name Nemesis
2 True-Name Nemesis
3 True-Name Nemesis
4 Stormchaser Mage
4 Polluted Delta
1 Snapcaster Mage
2 Snapcaster Mage
3 Snapcaster Mage
4 Young Pyromancer
